year,POP,industrial_output,food_per_capita,NR,PPOL,life_expectancy,human_welfare_index,ecological_footprint
1900.0,1650000000.0,62343750000.0,221.52727272727273,1100000000000.0,25000000.0,72.91386697860962,0.2235383394018768,5.544333639705881
1901.0,1690418107.6637738,62343750000.0,254.8872180595236,1099735039062.5,16001183.217993937,72.91386697860962,0.21996076715838284,5.680146654235285
1902.0,1733717110.6501617,66270480433.90825,265.8962157994058,1099470078125.0,10241640.832987424,72.4757401560441,0.22218114573025738,5.870775217841824
1903.0,1778057082.7194457,70930647134.96425,265.7377180966374,1099188428583.1558,6555675.500646474,72.44890275247911,0.22542958419099718,6.088721256811771
1904.0,1823463703.4485378,76078724972.9791,265.7854505214518,1098886973332.832,4197352.43421937,72.47124095004034,0.22914265416319896,6.328199400426553
1905.0,1869971319.4135768,81605042115.56354,265.9453976133657,1098563638751.6968,2689395.336574332,72.54418090595206,0.2331652838346346,6.5864559873340385
1906.0,1917618147.4656553,87550230108.90446,266.20171422778674,1098216817322.7056,1726473.7425097008,72.664697734249,0.23749674858330377,6.864032265495803
1907.0,1966442032.010066,93957960935.59946,266.56043742083335,1097844728844.7427,1113302.8991433177,72.82861686184334,0.2421347063361264,7.16201498523504
1908.0,2016480357.8091037,100876437293.02567,267.02735892888217,1097445407510.7666,725025.3034886168,73.03213434023651,0.24707751164860214,7.464278725994294
1909.0,2067769935.6602416,108359311849.33228,267.60823644032575,1097016682652.2715,481853.5358337506,73.27179530296898,0.25232470388754863,7.652953446538699
1910.0,2120346873.1176991,116466361586.47473,268.308770226742,1096556155576.9116,332840.9815349503,73.54447451122162,0.2578771277181979,7.846785925591377
1911.0,2174246432.2716875,125264258849.44841,269.13453592006033,1096061173540.169,245494.82056891365,73.84735295337914,0.2637370074142286,8.045776032223797
1912.0,2229502867.8525963,134827446667.46312,270.0909133335741,1095528800440.0586,199128.33427737586,74.17789029233118,0.2699079788358359,8.249965510181813
1913.0,2286149239.304154,145239129616.62872,271.1830097468927,1094955783791.7217,180606.54299699573,74.53379506922398,0.27639508608477054,8.459421651734093
1914.0,2344217190.562537,156592393158.7519,272.41557676505926,1094338517490.8511,181623.68082156655,74.91299382644756,0.283204748742176,8.674226224144363
1915.0,2403736691.1925187,168991465192.60355,273.7929200661207,1093672999819.9263,196961.11161235266,75.31359985986282,0.29003759606966834,8.894467780214644
1916.0,2464678005.3331585,182553134107.6568,275.32203326487905,1092954786092.8579,223372.76744706897,75.59989903860097,0.2963901370121267,9.120022510496948
1917.0,2526929280.6772866,197408537169.08487,277.01351456578004,1092178935272.9004,258872.22503775885,75.59989051279385,0.30277795609009156,9.350468407897973
1918.0,2590493278.62354,213705406549.8468,278.8701055977356,1091339948989.9316,302276.84186707047,75.59987583102046,0.3094540627737052,9.585811317317367
1919.0,2655369092.607916,231609936511.29907,280.89320876151794,1090431701012.0947,352916.4119080154,75.59985609749845,0.31643231995398785,9.82604601997768
1920.0,2721551580.6206217,251308800513.7005,283.0831355285783,1089447358781.9219,410447.1116315751,75.5998319696379,0.32372707100905784,10.071153319206088
1921.0,2789030731.2712445,273011601375.26038,285.43896089277723,1088379296379.7388,474732.8291727575,75.59980381999456,0.3313530294556476,10.321097161009343
1922.0,2857790950.6076455,296953554696.2201,287.95838023415143,1087218997073.894,545769.613609196,75.59977183969383,0.3393251519199493,10.575821645458827
1923.0,2927810261.61542,323367207707.413,290.6307022099972,1085956944466.435,623637.7128054226,75.5997361043979,0.3476662569950798,10.835247835440589
1924.0,2999060198.590366,352417101520.38556,293.4252723722665,1084582633833.6787,708471.2477691895,75.59969661630304,0.3564188767285755,11.09927321572967
